2/8/2016,16:45:00,Aggravated Assault No Firearm,1500 N BOUVIER ST,-75.16408026,39.97696094
2/14/2016,1:51:00,Aggravated Assault No Firearm,7300 FRANKFORD AVE,-75.03854626,40.03765875
1/29/2016,15:27:00,Aggravated Assault No Firearm,500 N BROAD ST,-75.16124261,39.96344956
1/22/2016,19:24:00,Aggravated Assault No Firearm,7000 HORROCKS ST,-75.06564915,40.04575598
2/6/2016,3:21:00,Aggravated Assault No Firearm,200 E WESTMORELAND ST,-75.12597734,39.99971491
2/12/2016,19:19:00,Aggravated Assault No Firearm,2500 N WATER ST,-75.13006385,39.98886477
1/21/2016,19:36:00,Aggravated Assault No Firearm,2500 S 11TH ST,-75.16570772,39.91819831
1/24/2016,22:31:00,Aggravated Assault No Firearm,5100 N BROAD ST 1,-75.14650232,40.03121336
1/31/2016,16:46:00,Aggravated Assault No Firearm,7000 TORRESDALE AVE,-75.04025172,40.02745463
2/1/2016,21:22:00,Aggravated Assault No Firearm,200 W LIPPINCOTT ST,-75.13401247,39.99827141
2/1/2016,6:44:00,Aggravated Assault Firearm,4700 WALNUT ST,-75.21665008,39.95581725
2/3/2016,14:33:00,Aggravated Assault Firearm,S 23RD ST / OAKFORD ST,-75.18204099,39.93715371
2/12/2016,23:27:00,Aggravated Assault Firearm,4900 PRINCETON AVE,-75.03668531,40.0255742
1/28/2016,18:45:00,Aggravated Assault No Firearm,500 N BROAD ST,-75.16124261,39.96344956
1/30/2016,4:46:00,Aggravated Assault No Firearm,N 21ST ST / BELLEVUE ST,-75.1637907,40.00539979
1/31/2016,3:03:00,Aggravated Assault No Firearm,2600 EMERALD ST,-75.12559884,39.98682413
2/1/2016,12:40:00,Aggravated Assault No Firearm,5600 WOODCREST AVE,-75.23624562,39.99015593
2/2/2016,14:25:00,Aggravated Assault No Firearm,1100 PATTISON AVE,-75.16867484,39.90472782
2/8/2016,4:25:00,Aggravated Assault No Firearm,5800 DICKENS AV,-75.220593,39.92822452
2/17/2016,1:21:00,Aggravated Assault No Firearm,200 W LEHIGH AV,-75.13488037,39.99146064
2/7/2016,17:36:00,Aggravated Assault No Firearm,3300 FOX ST,-75.17864438,40.01472321
2/7/2016,22:05:00,Aggravated Assault No Firearm,5400 W MONTGOMERY AV,-75.23181279,39.98404618
2/7/2016,22:05:00,Aggravated Assault No Firearm,5400 W MONTGOMERY AV,-75.23181279,39.98404618
2/17/2016,20:54:00,Aggravated Assault No Firearm,4500 BALTIMORE AV,-75.2131613,39.94909336
